0.00	20.00	290.00
3600.00	19.00	290.00
7200.00	17.00	290.00
10800.00	15.00	290.00
14400.00	15.00	290.00
18000.00	15.00	290.00
21600.00	16.00	290.00
25200.00	14.00	290.00
28800.00	15.00	290.00
32400.00	14.00	290.00
36000.00	15.00	290.00
39600.00	15.00	280.00
43200.00	15.00	280.00
46800.00	14.00	270.00
50400.00	14.00	270.00
54000.00	10.00	260.00
57600.00	10.00	260.00
61200.00	8.00	250.00
64800.00	12.00	260.00
68400.00	11.00	260.00
72000.00	11.00	260.00
75600.00	12.00	270.00
79200.00	12.00	270.00
82800.00	11.00	260.00
86400.00	11.00	260.00
90000.00	11.00	260.00
93600.00	14.00	280.00
97200.00	13.00	310.00
100800.00	13.00	310.00
104400.00	14.00	330.00
108000.00	14.00	330.00
111600.00	16.00	330.00
115200.00	15.00	320.00
118800.00	15.00	340.00
122400.00	14.00	330.00
126000.00	11.00	330.00
129600.00	11.00	320.00
133200.00	10.00	310.00
136800.00	11.00	310.00
140400.00	11.00	310.00
144000.00	10.00	310.00
147600.00	10.00	320.00
151200.00	8.00	320.00
154800.00	6.00	310.00
158400.00	5.00	290.00
162000.00	5.00	290.00
165600.00	5.00	270.00
169200.00	4.00	270.00
172800.00	4.00	270.00
176400.00	3.00	250.00
180000.00	3.00	210.00
183600.00	4.00	200.00
187200.00	4.00	190.00
190800.00	4.00	180.00
194400.00	5.00	170.00
198000.00	6.00	170.00
201600.00	5.00	170.00
205200.00	6.00	150.00
208800.00	6.00	160.00
212400.00	6.00	170.00
216000.00	6.00	130.00
219600.00	6.00	120.00
223200.00	6.00	130.00
226800.00	5.00	130.00
230400.00	5.00	120.00
234000.00	6.00	120.00
237600.00	5.00	110.00
241200.00	5.00	100.00
244800.00	4.00	90.00
248400.00	3.00	100.00
252000.00	2.00	110.00
255600.00	3.00	30.00
259200.00	3.00	50.00
262800.00	3.00	50.00
266400.00	4.00	60.00
270000.00	7.00	60.00
273600.00	6.00	70.00
277200.00	7.00	80.00
280800.00	7.00	80.00
284400.00	9.00	60.00
288000.00	6.00	60.00
291600.00	7.00	60.00
295200.00	7.00	20.00
298800.00	8.00	360.00
302400.00	9.00	360.00
306000.00	11.00	360.00
309600.00	11.00	10.00
313200.00	11.00	10.00
316800.00	11.00	10.00
320400.00	10.00	10.00
324000.00	10.00	360.00
327600.00	10.00	10.00
331200.00	10.00	360.00
334800.00	9.00	10.00
338400.00	9.00	30.00
342000.00	7.00	50.00
345600.00	5.00	50.00
349200.00	5.00	50.00
352800.00	4.00	50.00
356400.00	4.00	60.00
360000.00	5.00	60.00
363600.00	5.00	60.00
367200.00	5.00	60.00
370800.00	5.00	40.00
374400.00	5.00	20.00
378000.00	5.00	10.00
381600.00	5.00	360.00
385200.00	6.00	360.00
388800.00	6.00	350.00
392400.00	6.00	350.00
396000.00	6.00	340.00
399600.00	7.00	340.00
403200.00	7.00	350.00
406800.00	5.00	350.00
410400.00	5.00	360.00
414000.00	4.00	360.00
417600.00	4.00	350.00
421200.00	4.00	350.00
424800.00	4.00	340.00
428400.00	3.00	350.00
432000.00	3.00	320.00
435600.00	3.00	310.00
439200.00	4.00	280.00
442800.00	4.00	290.00
446400.00	5.00	290.00
450000.00	5.00	280.00
453600.00	4.00	280.00
457200.00	5.00	360.00
460800.00	5.00	10.00
464400.00	6.00	20.00
468000.00	6.00	20.00
471600.00	5.00	10.00
475200.00	6.00	10.00
478800.00	6.00	20.00
482400.00	5.00	360.00
486000.00	5.00	10.00
489600.00	6.00	20.00
493200.00	5.00	360.00
496800.00	5.00	20.00
